"parent_id","neighborhood","city","destination","poi_name","poi_slug","category","s3_key","ref_photo_reference","ref_attribution","generated_at"
"neighborhoods/ae-al-ain-city/al-jimi","Al Jimi","Al Ain City","Al Jimi, Al Ain City, United Arab Emirates","Al Jimi Mall","al-jimi-mall","anchor","images/Neighborhood_POIs/ae-al-ain-city/al-jimi/al-jimi-mall.png","text-only","","2026-07-17T21:30:13.108646+00:00"
"neighborhoods/ae-al-ain-city/al-jimi","Al Jimi","Al Ain City","Al Jimi, Al Ain City, United Arab Emirates","Al Jimi Oasis","al-jimi-oasis","outdoors","images/Neighborhood_POIs/ae-al-ain-city/al-jimi/al-jimi-oasis.png","places-photo","أبو عبدالرحمن رئيسي (Google Maps contributor)","2026-07-17T21:31:29.787520+00:00"
"neighborhoods/ae-al-ain-city/al-jimi","Al Jimi","Al Ain City","Al Jimi, Al Ain City, United Arab Emirates","Souq Al Qattara","souq-al-qattara","shopping-dining","images/Neighborhood_POIs/ae-al-ain-city/al-jimi/souq-al-qattara.png","text-only","","2026-07-17T21:32:53.925061+00:00"
"neighborhoods/ae-al-ain-city/al-jimi","Al Jimi","Al Ain City","Al Jimi, Al Ain City, United Arab Emirates","Al Qattara Arts Centre","al-qattara-arts-centre","culture-architecture","images/Neighborhood_POIs/ae-al-ain-city/al-jimi/al-qattara-arts-centre.png","text-only","","2026-07-17T21:38:19.577023+00:00"
"neighborhoods/al-tirana/city-center-skanderbeg","City Center (Skanderbeg)","Tirana","City Center (Skanderbeg), Tirana, Albania","Skanderbeg Square","skanderbeg-square","anchor","images/Neighborhood_POIs/al-tirana/city-center-skanderbeg/skanderbeg-square.png","text-only","","2026-07-17T21:58:51.082343+00:00"
"neighborhoods/al-tirana/city-center-skanderbeg","City Center (Skanderbeg)","Tirana","City Center (Skanderbeg), Tirana, Albania","Rinia Park","rinia-park","outdoors","images/Neighborhood_POIs/al-tirana/city-center-skanderbeg/rinia-park.png","places-photo","Antonio Morawetz (Google Maps contributor)","2026-07-17T21:59:05.593463+00:00"
"neighborhoods/al-tirana/city-center-skanderbeg","City Center (Skanderbeg)","Tirana","City Center (Skanderbeg), Tirana, Albania","Pazari i Ri","pazari-i-ri","shopping-dining","images/Neighborhood_POIs/al-tirana/city-center-skanderbeg/pazari-i-ri.png","places-photo","Alex K (1001street) (Google Maps contributor)","2026-07-17T21:59:06.987184+00:00"
"neighborhoods/al-tirana/city-center-skanderbeg","City Center (Skanderbeg)","Tirana","City Center (Skanderbeg), Tirana, Albania","Pyramid of Tirana","pyramid-of-tirana","culture-architecture","images/Neighborhood_POIs/al-tirana/city-center-skanderbeg/pyramid-of-tirana.png","places-photo","Chris tof (Google Maps contributor)","2026-07-17T21:59:08.401833+00:00"
"neighborhoods/ao-luanda/baixa","Baixa","Luanda","Baixa, Luanda, Angola","Fortaleza de Sao Miguel","fortaleza-de-sao-miguel","anchor","images/Neighborhood_POIs/ao-luanda/baixa/fortaleza-de-sao-miguel.png","text-only","","2026-07-17T22:05:39.896170+00:00"
"neighborhoods/ao-luanda/baixa","Baixa","Luanda","Baixa, Luanda, Angola","Marginal de Luanda","marginal-de-luanda","outdoors","images/Neighborhood_POIs/ao-luanda/baixa/marginal-de-luanda.png","text-only","","2026-07-17T22:07:16.477335+00:00"
"neighborhoods/ao-luanda/baixa","Baixa","Luanda","Baixa, Luanda, Angola","Palacio de Ferro","palacio-de-ferro","culture-architecture","images/Neighborhood_POIs/ao-luanda/baixa/palacio-de-ferro.png","text-only","","2026-07-17T22:08:39.737488+00:00"
"neighborhoods/ao-luanda/baixa","Baixa","Luanda","Baixa, Luanda, Angola","Rua Rainha Ginga","rua-rainha-ginga","shopping-dining","images/Neighborhood_POIs/ao-luanda/baixa/rua-rainha-ginga.png","text-only","","2026-07-17T22:14:56.216722+00:00"
