neighborhoods/af-baghlan/city-centre,"only 3 of 4 POIs generatable: Places data sparse; no usable shopping-dining POI (bazaar matches resolve to Rurabat/Kunduz/Kabul or unusable photos); stadium refs kept failing people-QA; text-only attempts invented landmarks"
neighborhoods/bf-saaba/city-centre,"only 1 of 4 POIs generatable (Paroisse Saint André culture-architecture uploaded): Places data extremely sparse; Mairie refs carry unavoidable facade inscription that regenerations keep reproducing and text-only invents a different building; market/outdoors/dining queries return screenshots, interiors, people close-ups, or non-walkable matches (Kelly Parc 2.7km, Mogho Naba Palace in central Ouagadougou); text-only attempts invent buildings contradicting known refs"
neighborhoods/cn-huinong/city-centre,"Google Places has no usable coverage for Huinong District, Shizuishan: park queries match wrong-city People's Park (Xining), Chinese-language and Yellow River queries return zero candidates, sole district photo is a highway-side wind farm; cannot name 4 real walkable POIs with visual confidence and text-only would fabricate obscure landmarks"
neighborhoods/cn-jiawang/city-centre,"No walkable Places coverage for Jiawang town centre (Xuzhou): only matches are Dadongshan Scenic Spot ~6km east and Pan'an Lake Wetland Park ~9km southwest (both unwalkable); park/square/street queries in the town itself return zero candidates; cannot name 4 real walkable POIs with visual confidence"
neighborhoods/cn-jishou/city-centre,"partial (2/4 uploaded: Donghe Garden outdoors + Jishou University culture-architecture): Qianzhou Ancient City is the only real anchor but sits ~8km from the city-centre coords (unwalkable); Tuanjie Square photo unusable and text-only generation invented a nonexistent drum-tower landmark (rejected); no Places coverage for any shopping street/market"
neighborhoods/cn-laizhou/city-centre,"No walkable Places coverage for Laizhou city centre (Yantai, Shandong): park/museum/square queries return zero candidates or wrong-city matches (People's Park in Langfang); only real matches are Yunfeng/Yunfengshan Scenic Area ~7km south (unwalkable); cannot name 4 real walkable POIs with visual confidence"
neighborhoods/cn-linxi/city-centre,"No Places coverage for Linxi town (Guye District, Tangshan): park queries match wrong cities (Zunhua People's Park, Tangshan Earthquake Memorial Park 25km away in Lunan), Huahai/flower-sea queries return zero results; cannot name 4 real walkable POIs with visual confidence"
neighborhoods/cn-luzhou/city-centre,"partial (2/4 uploaded: Baoen Pagoda anchor + Zhongshan Park outdoors): Shuijinggou Pedestrian Street photos are all crowds/heavy signage and text-only generation invented an ornate water pavilion (wrong place, rejected); Luzhou Museum photos are interiors only; Laojiao/Guojiao Square, drum tower and riverfront queries return zero or wrong-city matches"
neighborhoods/cn-pingdu/city-centre,"No walkable Places coverage for Pingdu city centre (Qingdao, Shandong): park/museum/garden queries resolve to wrong cities (Taipingjiao Park and Xiaoyushan Park in Qingdao Shinan, Shandong Museum in Jinan, Nanhu Botanical Garden in Gaomi, Plum Garden in Wuxi); Chinese-language queries return zero candidates; only real local match is Pingdu Station forecourt square several km southwest; cannot name 4 real walkable POIs with visual confidence"
neighborhoods/cn-qionghai/city-centre,"No usable walkable Places coverage for Qionghai city centre (Jiaji, Hainan): Wanquan River is the only local match but all photos are unusable (weathered banner in water, gloomy overcast riverbank, photo-op balloon with children); park queries resolve to Haikou, pedestrian street to Sanya; Red Detachment of Women Memorial ~5km and Bo ao Buddhist Temple ~13km are unwalkable; cannot name 4 real walkable POIs with visual confidence"
"neighborhoods/cn-shuifu/city-centre","No usable walkable Places coverage for Shuifu city centre (Zhaotong, Yunnan): park/square/pedestrian-street queries resolve to wrong cities (People's Park in Chengdu, Spring City Square in Jinan, Pedestrian Street in Chengdu) or zero results; only local matches are Linjiang Park (sole photo is hazy gloomy river view) and Western Grand Canyon Hot Spring ~3.5km west (photos are night shot and overcast pool with bathers); cannot name 4 real walkable POIs with visual confidence"
neighborhoods/cn-wuxue/city-centre,"No usable walkable Places coverage for Wuxue city centre (Huanggang, Hubei): only local match with photos is Wuxue City Plaza mall (exterior dominated by KFC branding and ad banners, other photo is a jewelry-counter interior); park/riverside/temple/square/station queries return zero candidates or wrong cities (Yuhu Park in Putian, Wuhan Yangtze River Bridge, Wuzu Temple in Huangmei ~30km); cannot name 4 real walkable POIs with visual confidence"
neighborhoods/cn-xinji/city-centre,"No usable walkable Places coverage for Xinji city centre (Shijiazhuang, Hebei): only local match with photos is Runzehu Park East Gate whose two photos are dim signage-heavy storefronts across the street, not the park; leather-city/museum/square/pedestrian-street/station queries return zero candidates or wrong cities (People's Park in Langfang, Mosque in central Shijiazhuang); cannot name 4 real walkable POIs with visual confidence"
neighborhoods/kp-sariwon-si/city-centre,"partial (3/4): verified Sariwon Station anchor + Jeongbangsan park + Sariwon Revolutionary Museum; Google Places has no walkable shopping-dining match in NK Sariwon (market/folk-street queries return Seoul restaurants or wrong cities); cannot verify a 4th real walkable POI"
neighborhoods/kr-cheongju-si/gagyeong-dong,"partial (3/4): verified Gagyeong Terminal Traditional Market + NC Department Store + Connect Hyundai mall all within ~500m of coords; no walkable outdoors or culture-architecture POI in Heungdeok commercial hub (nearest parks/museums/temple site ~3.5km in Sangdang/Seowon); substituted second shopping-dining for missing outdoors"
neighborhoods/pk-kasur/city-centre,"manifest lat/lng (27.694, 68.864) resolve to Sukkur Sindh (Clock Tower Sukkur exact match), not Kasur Punjab (~31.12, 74.45); Kasur landmarks (Bulleh Shah shrine, Kasur parks) are 700+ km away; cannot name 4 real walkable POIs for destination Kasur at these coordinates"
